"DbItemId","Name","Description"
"82768","Summoner's Stone: Lord Banehollow","Has a chance to drop from Lord Banehollow within Shadow Hold"
"1180450","Draconic Warhorn: Infinite Slayer","Has a chance to drop from Infinite Slayer within Caverns of Time"
"79883","Beastmaster's Whistle: Starving Snickerfang","Has a chance to drop from Starving Snickerfang within Nethergarde Keep"
"79821","Beastmaster's Whistle: Deviate Viper","Has a chance to drop from Deviate Viper within Wailing Caverns"
"82776","Summoner's Stone: Prince Xavalis","Has a chance to drop from Prince Xavalis within Shadow Hold"
"79707","Beastmaster's Whistle: Steelsnap","Has a chance to drop from Steelsnap within Camp E'thok"
"81377","Beastmaster's Whistle: Guardian Serpent","Has a chance to drop from Guardian Serpent within Drakil'jin Ruins"
"79350","Beastmaster's Whistle: Young Fleshripper","Has a chance to drop from Young Fleshripper within Furlbrow's Pumpkin Farm"
"601849","Elemental Lodestone: Treant Protector","Has a chance to drop from Treant Protector within Kalimdor/Eastern Kingdom"
"601832","Elemental Lodestone: Treant","Has a chance to drop from Treant within Kalimdor/Eastern Kingdom"
"85858","Blood Soaked Vellum: Skeletal Miner","Has a chance to drop from Skeletal Miner within The Deadmines"
"81897","Beastmaster's Whistle: Icetip Crawler","Has a chance to drop from Icetip Crawler within Crystalweb Cavern"
"85859","Blood Soaked Vellum: Undead Excavator","Has a chance to drop from Undead Excavator within The Deadmines"
"79920","Beastmaster's Whistle: Ravasaur Runner","Has a chance to drop from Ravasaur Runner within Un'Goro Crater"
"85860","Blood Soaked Vellum: Undead Dynamiter","Has a chance to drop from Undead Dynamiter within The Deadmines"
"1180139","Draconic Warhorn: Red Wyrmkin","Has a chance to drop from Red Wyrmkin within Dragonmaw Gates"
"81899","Beastmaster's Whistle: Icemaw Bear","Has a chance to drop from Icemaw Bear within Hibernal Cavern"
"81895","Beastmaster's Whistle: Crystalweb Spitter","Has a chance to drop from Crystalweb Spitter within Crystalweb Cavern"
"81894","Beastmaster's Whistle: Crystalweb Weaver","Has a chance to drop from Crystalweb Weaver within Crystalweb Cavern"
"1180233","Draconic Warhorn: Deviate Faerie Dragon","Has a chance to drop from Brightwing within Wailing Caverns"
"1180275","Draconic Warhorn: Chronalis","Has a chance to drop from Chronalis within Caverns of Time"
"1180307","Draconic Warhorn: Emberstrife","Has a chance to drop from Emberstrife within Emberstrife's Den"
"85872","Blood Soaked Vellum: Foreman Thistlenettle","Has a chance to drop from Foreman Thistlenettle within The Deadmines"
"601685","Elemental Lodestone: Panzor the Invincible","Has a chance to drop from Panzor the Invincible within Blackrock Depths"
"79732","Beastmaster's Whistle: Scorpashi Lasher","Has a chance to drop from Scorpashi Lasher within Scrabblescrew's Camp"
"101135","Blood Soaked Vellum: Aldur'thar Sentry","Has a chance to drop from Aldur'thar Sentry within Aldur'thar: The Desolation Gate"
"601068","Elemental Lodestone: Warpwood Moss Flayer","Has a chance to drop from Warpwood Moss Flayer within Irontree Cavern"
"1180670","Draconic Warhorn: Goramosh","Has a chance to drop from Goramosh within Moonrest Gardens"
"85721","Blood Soaked Vellum: Skeletal Mage","Has a chance to drop from Skeletal Mage within Tranquil Gardens Cemetery"
"101085","Blood Soaked Vellum: Eye of Taldaram","Has a chance to drop from Eye of Taldaram within Befouled Terrace"
"85202","Summoner's Stone: Wrath Speaker","Has a chance to drop from Wrath Speaker within Forge Camp: Wrath"
"79676","Beastmaster's Whistle: Salt Flats Vulture","Has a chance to drop from Salt Flats Vulture within Tahonda Ruins"
"400071","Blood Soaked Vellum: Necromantic Lich","Obtained from the Argent Quartermaster"
"79752","Beastmaster's Whistle: Deviate Crocolisk","Has a chance to drop from Deviate Crocolisk within Wailing Caverns"
"79754","Beastmaster's Whistle: Deviate Dreadfang","Has a chance to drop from Deviate Dreadfang within Wailing Caverns"
"79260","Beastmaster's Whistle: Armored Soulhound","Felforged Heroes can purchase this item from High Inquisitor Qormaladon "
"86426","Blood Soaked Vellum: Skeletal Acolyte","Has a chance to drop from Skeletal Acolyte within Ruins of Andorhal"
"79256","Beastmaster's Whistle: Felhound","Felforged Heroes can purchase this item from High Inquisitor Qormaladon "
"79758","Beastmaster's Whistle: Groddoc Ape","Has a chance to drop from Groddoc Ape within Ruins of Isildien"
"79765","Beastmaster's Whistle: Rabid Longtooth","Has a chance to drop from Rabid Longtooth within Ruins of Ravenwind"
"79772","Beastmaster's Whistle: Old Grizzlegut","Has a chance to drop from Old Grizzlegut within Ruins of Isildien"
"85934","Blood Soaked Vellum: Zanzil Hunter","Has a chance to drop from Zanzil Hunter within Ruins of Aboraz"
"84615","Summoner's Stone: Forgemaster Morug","Has a chance to drop from Forgemaster Morug within Forge Base: Oblivion"
"82455","Summoner's Stone: Haldarr Trickster","Has a chance to drop from Haldarr Trickster within Haldarr Encampment"
"1777006","Elemental Lodestone: Unbound Fire Spirit","Has a chance to drop from Unbound Fire Spirit within Elemental Plateau"
"1777005","Elemental Lodestone: Unbound Earth Spirit","Has a chance to drop from Unbound Earth Spirit within Elemental Plateau"
"80833","Beastmaster's Whistle: Rabid Brown Bear","Has a chance to drop from Rabid Brown Bear within Scalawag Point"
